gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
VAMP8,No,Unknown,Vesicle Transport,Protein,Cytoplasm,Involved in the process of vesicle fusion and exocytosis.
RN7SL126P,No,Unknown,,RNA,N/A,Non-coding RNA possibly involved in gene regulation.
VAMP5,No,Unknown,Vesicle Transport,Protein,Cytoplasm,Involved in vesicle transport and synaptic vesicle exocytosis.
RNF181,No,Unknown,Ubiquitination ,E3 ubiquitin ligase,Cytoplasm,Involved in protein degradation and cellular signaling.
TMEM150A,No,Unknown,,Membrane protein,Plasma membrane,"Function not well defined, possible role in ion transport."
USP39,Yes,Tumor Suppressor,"Various Dna Repair, Etc.",Ubiquitin hydrolase,Nucleus,Regulates mRNA processing and stability through deubiquitination. Potential role in DNA damage response.
C2orf68,No,Unknown,,Protein,Unknown,Function not well characterized; involved in cellular processes.
SFTPB,No,Oncogene,Lung Cancer,Surfactant protein,Lung tissue,"Regulates surface tension in the lungs; implicated in lung diseases, including cancer."
GNLY,No,Unknown,Immune Response,Cytotoxic molecule,Cytoplasm,Cytotoxic T cell activity; involved in killing tumor cells.
GPR160P1,No,Unknown,Neurodevelopmental ,G-protein coupled receptor,Membrane,Potential role in neural signaling; function in cancer is unclear.
RNU1-38P,No,Unknown,Rna Processing,Non-coding RNA,Nucleus,Roles in RNA splicing; involvement in post-transcriptional modifications.
ATOH8,No,Tumor Suppressor,Developmental ,Basic helix-loop-helix transcription factor,Nucleus,Regulates neural and other cellular differentiation processes; linked to cancer when misregulated.
RN7SKP83,No,Unknown,Rna Processing,Non-coding RNA,Nucleus,Part of the 7SK RNA complex; involved in RNA Polymerase II regulation.
ST3GAL5,Yes,Oncogene,"Glycosylation, Cancer Metabolism",Glycosyltransferase,Golgi apparatus,Modifies glycoproteins and glycolipids; implicated in cancer cell signaling.
ST3GAL5-AS1,No,Unknown,,Non-coding RNA,Nucleus,Functions as a long non-coding RNA; possible role in gene regulation.
POLR1A,Yes,Oncogene,Transcription & Ribosome Biogenesis,RNA polymerase,Nucleus,Catalytic subunit of RNA polymerase I; essential for ribosomal RNA synthesis.
PTCD3,No,Unknown,,Protein,Mitochondria,Involved in mitochondrial RNA processing/translation; role in cancer not well defined.
SNORD94,No,Unknown,Rna Processing,Non-coding RNA,Nucleus,Functions in the modification of rRNA; implicated in ribosomal function.
IMMT,No,Unknown,Mitochondrial Functions,Protein,Mitochondria,Implicated in mitochondrial dynamics and bioenergetics.
MIR4779,No,Unknown,Mirna Regulation,miRNA,Cytoplasm,May regulate gene expression post-transcriptionally; potential role in cancer pathways.
MRPL35,No,Unknown,Mitochondrial Translation,Mitochondrial ribosomal protein,Mitochondria,Involved in mitochondrial protein synthesis; could affect cancer metabolism.
REEP1,No,Unknown,Neuronal ,Membrane protein,Endoplasmic Reticulum,Associated with neurodegenerative diseases; unclear cancer connection.
KDM3A,Yes,Oncogene,Epigenetic Regulation,Histone demethylase,Nucleus,Regulates gene expression by demethylating histones; involved in development and cancer.
CHMP3,No,Tumor Suppressor,Multi-Vesicular Body ,Protein,Cytoplasm,Involved in endosomal sorting; role in tumor suppression implied in some contexts.
RNF103-CHMP3,No,Unknown,,E3 ubiquitin ligase,Cytoplasm,Potential role in protein degradation; functions in cellular homeostasis.
RNU6-640P,No,Non-coding RNA,,RNA,Nucleus,Involved in RNA processing and splicing.
RNF103,No,Oncogene (proposed),Ubiquitin ,E3 ligase,Cytoplasm,Plays a role in protein degradation and regulation.
RMND5A,No,Tumor Suppressor (proposed),,Unknown,Unknown,Implicated in the DNA damage response and cellular growth regulation.
CD8A,No,Immune Gene,Immune Response,Glycoprotein,Cell membrane,"Marker for cytotoxic T cells, involved in immune response."
CD8B,No,Immune Gene,Immune Response,Glycoprotein,Cell membrane,"Part of the CD8 co-receptor complex, aiding in T cell activation."
ANAPC1P1,No,Pseudogene,Cell Cycle Regulation,Unknown,Unknown,May play a role in the anaphase-promoting complex function.
RGPD1,No,Tumor Suppressor (proposed),,Protein,Cytoplasm,Involved in RNA processing and potential regulation of cell growth.
WBP1P1,No,Pseudogene,,Unknown,N/A,Potentially involved in signaling pathways related to Wnt.
NDUFB4P5,No,Pseudogene,Mitochondrial Function,Component of complex I,Mitochondria,Related to mitochondrial energy production.
PLGLB1,No,Tumor Suppressor (proposed),,Protein,Cytoplasm,Potential role in cell adhesion and migration.
ANAPC1P2,No,Pseudogene,Cell Cycle Regulation,Unknown,N/A,May be involved in mitotic regulation pathways.
ANAPC1P3,No,Pseudogene,Cell Cycle Regulation,Unknown,N/A,Potential involvement in anaphase-promoting complex.
MIR4771-1,No,MicroRNA,Various ,Non-coding RNA,Nucleus,Regulates gene expression through RNA interference.
CENPNP1,No,Pseudogene,Cell Division,Unknown,Unknown,May be involved in kinetochore assembly.
DBF4P3,No,Pseudogene,Cell Cycle Regulation,Unknown,N/A,May play a role in triggering DNA replication.
IGKV3OR2-268,No,Non-coding RNA,,RNA,Nucleus,"Part of the immunoglobulin variable region, involved in antigen recognition."
CYTOR,No,Pseudogene,,Unknown,N/A,Involved in various signaling pathways.
PAFAH1B1P1,No,Pseudogene,,Protein,Unknown,Associated with phospholipid metabolism and regulatory pathways.
MIR4435-1,No,MicroRNA,Various ,Non-coding RNA,Nucleus,Implicated in the regulation of gene expression via RNA interference.
RPS14P5,No,Pseudogene,Ribosome Biogenesis,Ribosomal protein,Nucleus,May play a role in ribosome assembly and protein synthesis.
ANAPC1P4,No,N/A,Cell Cycle,Pseudogene,Nucleus,Potential regulatory role in anaphase
PLGLB2,No,N/A,,Pseudogene,Cytoplasm,Function unclear; potential role in immune response
RGPD2,Yes,Oncogene,Cell Proliferation,Protein Coding,Cytoplasm,Involved in cell cycle regulation
MTATP8P2,No,N/A,Mitochondrial Function,Pseudogene,Mitochondria,Function unclear; potential role in mitochondria
NDUFB4P7,No,N/A,Mitochondrial Respiration,Pseudogene,Mitochondria,Implicated in energy metabolism; function unclear
WBP1P2,No,N/A,,Pseudogene,Unknown,Function unclear; possible regulatory role
RNU2-63P,No,N/A,Rna Processing,Small RNA,Nucleus,Involved in RNA splicing and processing
KRCC1,Yes,Tumor Suppressor,Cell Signaling,Protein Coding,Cytoplasm,Involved in cell signaling pathways
SMYD1,Yes,Oncogene,Growth Signaling,Protein Coding,Cytoplasm/Nucleus,"Histone methylation, role in cell growth"
MIR4780,No,N/A,Post-Transcriptional Regulation,miRNA,Nucleus,Regulates gene expression
FABP1,No,N/A,Lipid Metabolism,Protein Coding,Cytoplasm,"Fatty acid binding, important in lipid metabolism"
THNSL2,No,N/A,Amino Acid Metabolism,Protein Coding,Cytoplasm,Involved in amino acid modification
MRPL45P1,No,N/A,Mitochondrial Function,Pseudogene,Mitochondria,Function unclear; related to mitochondrial ribosome
RNU6-1168P,No,N/A,Rna Processing,Small RNA,Nucleus,Involved in RNA splicing and processing
RNU6-1007P,No,N/A,Rna Processing,Small RNA,Nucleus,Involved in RNA splicing and processing
RPL38P6,No,N/A,Ribosome Biogenesis,Pseudogene,Cytoplasm,Related to ribosomal function
FOXI3,Yes,Tumor Suppressor,Development And Differentiation,Protein Coding,Nucleus,Important in ear development and differentiation
TEX37,No,N/A,,Protein Coding,Testis,Role in male germline development
EIF2AK3,Yes,Tumor Suppressor,Stress Response,Protein Coding,Cytoplasm,Functions in eIF2α phosphorylation and stress response
EIF2AK3-DT,No,N/A,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression
RPIA,No,Tumor Suppressor,,Enzyme,Cytoplasm,Involved in ribose-5-phosphate isomerization in purine and pyrimidine metabolism.
ANKRD36BP2,No,Not classified,,Ankyrin repeat domain,Cytoplasm,Involved in various cellular signaling processes; may play a role in differentiation.
MIR4436A,No,Not classified,,MicroRNA,"Nucleus, Cytoplasm","Regulates gene expression post-transcriptionally, potentially involved in cancer pathways."
IGKC,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Encodes a component of the immunoglobulin molecule; involved in adaptive immunity.
IGKJ5,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Encodes a joining chain for antibody diversity; essential for B-cell development.
IGKJ4,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Similar to IGKJ5; plays a role in V(D)J recombination during antibody formation.
IGKJ3,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),"Similar function to other IGKJ genes, important for immunoglobulin assembly."
IGKJ2,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),"Involved in antibody diversity, part of the immunoglobulin light chain locus."
IGKJ1,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Part of the light chain rearrangement process; essential for successful antibody formation.
IGKV4-1,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Codes for a variable region of the kappa light chain; involved in antibody production.
IGKV5-2,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Similar role to other IGKV genes; participates in V(D)J recombination.
IGKV7-3,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Functions in the immune response; creates diversity in antibodies.
PGBD4P5,No,Not classified,,Transposase,Nucleus,Potentially involved in DNA transposition; unclear role in cancer.
IGKV2-4,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Contributes to antibody diversity; part of the immunoglobulin light chain family.
IGKV1-5,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Role in the generation of a diverse repertoire of antibodies.
IGKV1-6,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Similar to IGKV1-5; participates in antibody diversity.
IGKV3-7,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Involved in the immune response through antibody formation.
IGKV1-8,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Functions similarly to other IGKV genes in immunoglobulin production.
IGKV1-9,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Plays a role in the adaptive immune immune response; vital for antibody formation.
IGKV2-10,No,Not classified,B-Cell Receptor Signaling,Immunoglobulin,Membrane (B cells),Functions in generating diversity in antibodies as part of the immune repertoire.
CNN2P11,No,Neither,,Non-coding RNA,Nucleus,"Regulatory function, part of non-coding RNA network"
GXYLT1P7,No,Neither,,Non-coding RNA,Nucleus,"Unknown, likely regulatory RNA"
CNN2P8,No,Neither,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
CYP4F32P,No,Neither,,Non-coding RNA,Nucleus,"Unknown, potential regulatory function"
SNX18P14,No,Neither,,Non-coding RNA,Nucleus,"Unclear, may be involved in cellular transport"
ANKRD20A8P,No,Neither,,Non-coding RNA,Nucleus,Potential regulatory function
RNU6-1320P,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA splicing
TEKT4,No,Neither,,Protein,"Cytoplasm, Flagella",Role in flagellar structure and motility
MTCO1P48,No,Neither,,Mitochondrial protein,Mitochondria,Component of the mitochondrial respiratory chain
MTCO3P45,No,Neither,,Mitochondrial protein,Mitochondria,Component of the mitochondrial respiratory chain
RPS24P6,No,Neither,,Ribosomal protein,Cytoplasm,Involved in protein synthesis
RN7SL575P,No,Neither,,Non-coding RNA,Nucleus,Role in RNA processing
MAL,No,Neither,,Protein,Membrane,"Involved in signal transduction, cell differentiation"
MRPS5,No,Neither,,Mitochondrial protein,Mitochondria,Role in mitochondrial ribosome assembly
ZNF514,No,Neither,,Zinc finger protein,Nucleus,Transcriptional regulation
ZNF2,No,Neither,,Zinc finger protein,Nucleus,Transcriptional regulation
PROM2,No,Neither,,Protein,Membrane,Possible role in cell proliferation
KCNIP3,No,Neither,,Protein,"Cytoplasm, Membrane",Modulates ion channel activity
FABP7P2,No,Neither,,Fatty acid-binding protein,Cytoplasm,Transport of fatty acids
FAHD2A,No,Neither,,Enzyme,Cytoplasm,Involvement in fatty acid metabolism
UBTFL5,No,No,,Ubiquitin ligase,Cytoplasm,Involved in protein ubiquitination and degradation.
TRIM43B,No,No,"Immune Response, Apoptosis",E3 ubiquitin ligase,Cytoplasm,May play a role in protein ubiquitination and immune processes.
TRIM64FP,No,No,Immune Response,E3 ubiquitin ligase,Cytoplasm,Likely involved in immune regulation and cellular response.
OR7E102P,No,No,Olfactory Signal Transduction,G-protein coupled receptor,Membrane,Functions in sense of smell; less clear role in cancer.
TRIM51JP,No,No,,E3 ubiquitin ligase,Cytoplasm,Involved in cellular signaling; unclear cancer role.
TRIM43,No,No,Immune Response,E3 ubiquitin ligase,Cytoplasm,May have roles in immunity and stress response.
UBTFL3,No,No,,Ubiquitin ligase,Cytoplasm,Potentially involved in protein homeostasis.
GPAT2P1,No,No,Lipid Metabolism,Enzyme,Mitochondria,Involved in glycerolipid metabolism; less clear in cancer.
LINC00342,No,No,Various ,Long non-coding RNA,Nucleus,Acts as a regulatory RNA; unclear cancer implications.
ANKRD36C,No,No,Cellular Signaling,Ankyrin repeat protein,Cytoplasm,May be involved in cell signaling pathways.
RN7SL210P,No,No,,Small RNA,Nucleus,Potential regulatory role but not well characterized.
FAHD2CP,No,No,,Enzyme,Cytoplasm,May play a role in metabolism; unclear cancer implications.
GPAT2,No,No,Lipid Metabolism,Enzyme,Mitochondria,Functions in glycerolipid synthesis; potential cancer link.
ADRA2B,No,No,Signal Transduction,G-protein coupled receptor,Membrane,Role in adrenergic signaling; less clear in cancer.
ASTL,No,No,Immune Response,Protein,Cytoplasm,May be involved in immune and cellular functions.
DUSP2,No,No,Mapk Signaling,Dual specificity phosphatase,Cytoplasm,Regulates MAPK pathways; potential cancer relevance.
STARD7,No,No,Lipid Metabolism,StAR-related protein,Mitochondria,Involved in sterol and lipid transport.
STARD7-AS1,No,No,,Long non-coding RNA,Nucleus,Regulatory function; less clear role in cancer.
TMEM127,Yes,No,Mtor Signaling,Membrane protein,Membrane,Implicated in tumor suppression and regulation of mTOR.
CIAO1,No,No,,Protein,Cytoplasm,Potential involvement in immune response and cellular functions.
SNRNP200,Yes,Tumor Suppressor,Rna Splicing,Protein,Nucleus,Involved in spliceosome assembly; regulates RNA processing.
ITPRIPL1,No,Potential Oncogene,Calcium Signaling,Protein,Endoplasmic Reticulum,May play a role in calcium homeostasis signaling.
NCAPH,Yes,Oncogene,Cell Cycle Regulation,Protein,"Cytoplasm, Nucleus",Involved in chromatin remodeling and cell division.
NEURL3,No,Unknown,Neurogenesis,Protein,Cytoplasm,"Associated with neural development, but role in cancer is not well-defined."
ARID5A,Yes,Oncogene,"Immune Response, Cell Cycle",DNA-binding Protein,Nucleus,Regulates gene transcription; implicated in cell proliferation.
KANSL3,Yes,Oncogene,Developmental ,Protein,Nucleus,Involved in chromatin remodeling and transcriptional regulation.
FER1L5,No,Unknown,May Relate To Cellular Processes,Protein,Unknown,Function not well characterized; potential role in cellular functions.
LMAN2L,No,Unknown,Glycoprotein Trafficking,Protein,Golgi Apparatus,Involved in transport and sorting of glycoproteins.
CNNM4,No,Tumor Suppressor,Magnesium Homeostasis,Membrane Protein,Plasma Membrane,Involved in magnesium transport and signaling processes.
MIR3127,No,Non-coding RNA,Post-Transcriptional Regulation,Non-coding RNA,N/A,Potential regulatory role in gene expression; not well-understood.
CNNM3-DT,No,Non-coding RNA,,Non-coding RNA,N/A,Potentially involved in regulation of CNNM3 expression.
CNNM3,No,Tumor Suppressor,Cellular Signaling,Membrane Protein,Plasma Membrane,Regulates magnesium homeostasis; may impact cellular growth.
ANKRD23,No,Unknown,Cellular Signaling,Protein,Cytoplasm,Role in cellular signaling pathways not well-defined.
ANKRD39,No,Unknown,Cell Signaling,Protein,Cytoplasm,Likely involved in cellular signaling or structural functions.
SEMA4C,Yes,Oncogene,Cell Communication,Membrane Protein,Plasma Membrane,Involved in cell signaling related to development and cancer.
FAM178B,No,Unknown,,Protein,Cytoplasm,Function not well characterized; potential involvement in cellular processes.
RNA5SP101,No,Non-coding RNA,Post-Transcriptional Regulation,Non-coding RNA,N/A,Potential role in regulation of gene expression.
TRIM43CP,Yes,Oncogene,Immune Response,Protein,Cytoplasm,May be involved in immune regulation and cellular stress responses.
IGKV2OR2-1,No,Non-coding RNA,Immunoglobulin Gene Family,Non-coding RNA,N/A,Involved in the immune response; regulates antibody production.
IGKV2OR2-2,No,Non-coding RNA,Immunoglobulin Gene Family,Non-coding RNA,N/A,Similar role to IGKV2OR2-1; involved in the immune response.
TMEM131,No,No,,Membrane Protein,Plasma Membrane,Involved in cellular signaling and potentially in cancer cell proliferation.
HMGN1P36,No,No,,Non-coding RNA (lncRNA),Nucleus,May play a role in chromatin remodeling and gene expression regulation.
RNU7-96P,No,No,,Non-coding RNA (snRNA),Nucleus,Involved in RNA splicing; role in cancer is not established.
VWA3B,No,No,Cell Adhesion ,Adhesion Protein,Cell Membrane,May play a role in cell adhesion; potential importance in tumor microenvironment.
ATP5F1BP1,No,No,Mitochondrial Function,Protein,Mitochondria,Involved in ATP production; mutations may influence cancer metabolism.
CNGA3,No,No,Vision ; Cgmp Signaling,Ion Channel Protein,Plasma Membrane,Integral in phototransduction; not directly related to cancer.
INPP4A,No,Tumor Suppressor,Pi3k-Akt Signaling,Phosphatase,Cytoplasm,Regulates phosphoinositide signaling; implicated in tumor suppression.
COA5,No,No,Mitochondrial Function,Protein,Mitochondria,Role in mitochondrial protein import; less defined in cancer context.
UNC50,No,No,,Protein,Cytoplasm,Involved in RNA processing; precise role in cancer not well established.
MGAT4A,No,No,Glycosylation ,Glycosyltransferase,Golgi Apparatus,Involved in glycan biosynthesis; altered expression may impact tumor biology.
YWHAQP5,No,No,Apoptosis Signaling,14-3-3 Protein,Cytoplasm,Involved in signal transduction; can influence cell survival and proliferation.
LINC02611,No,No,,Non-coding RNA (lncRNA),Nucleus,"Potential roles in gene regulation, not well characterized in cancer."
RNU4-84P,No,No,,Non-coding RNA (snRNA),Nucleus,"Role in RNA splicing; as with others, cancer relevance unclear."
CRACDL,No,No,,Protein,Nucleus,Potential role in cell differentiation; limited cancer association.
RNU7-46P,No,No,,Non-coding RNA (snRNA),Nucleus,Involved in RNA splicing; cancer association not well characterized.
TSGA10,No,Potentially Tumor Suppressor,Testis-Specific ,Testis-specific Protein,Cytoplasm,Possible role in spermatogenesis; limited data on cancer relevance.
SMC3P1,No,No,Cell Cycle Regulation; Dna Repair,Structural Protein,Nucleus,Involved in the structural organization of chromosomes; potential cancer connections.
C2orf15,No,No,,Protein,Unknown,Limited functional insights; unclear roles in cancer.
LIPT1,No,No,Lipid Metabolism,Protein,Mitochondria,Involved in lipid metabolism; potential implications in cancer metabolism.
MITD1,No,No,Mitochondrial Function,Protein,Mitochondria,Role in mitochondrial processes; cancer implications less defined.
MRPL30,No,Neither,Mitochondrial Function,Ribosomal Protein,Mitochondria,Involved in mitochondrial protein synthesis.
LYG2,No,Neither,???,Unknown,???,Potential involvement in response to stress.
LYG1,No,Neither,???,Unknown,???,"Similar function as LYG2, specific roles unclear."
TXNDC9,No,Neither,Redox Signaling,Thioredoxin,"Cytoplasm, Nucleus","Involved in redox reactions, maintaining cellular homeostasis."
EIF5B,No,Neither,Protein Synthesis,Translation Initiation Factor,Cytoplasm,Plays a role in protein translation initiation.
REV1,Yes,Yes,"Dna Repair, Translesion Synthesis",DNA Polymerase,Nucleus,Involved in DNA damage tolerance.
AFF3,No,Yes,???,Transcription factor,Nucleus,Involved in transcriptional regulation.
LINC01104,No,Neither,???,Long Non-coding RNA,Nucleus,Potential regulatory role in gene expression.
LONRF2,No,Neither,???,Unknown,???,Functional role is poorly characterized.
CYCSP7,No,Neither,Cell Cycle Regulation,Unknown,Cytoplasm,Involved in apoptosis and cell cycle regulation.
CHST10,No,Neither,Glycosaminoglycan Biosynthesis,Enzyme,Golgi Apparatus,Involved in the sulfation of glycosaminoglycans.
RALBP1P2,No,Neither,???,Unknown,???,Possibly involved in signaling pathways.
NMS,No,Neither,???,Protein,Nucleus,Potential role in signal transduction and stress response.
ARPP19P2,No,Neither,???,Protein,Cytoplasm/Nucleus,"Involved in signaling pathways, particularly neuronal."
PDCL3,No,Neither,???,Protein,???,Function largely uncharacterized; potential roles in cellular signaling.
HMGN2P22,No,Neither,???,Protein,Nucleus,Possible role in chromatin structure and dynamics.
LINC01849,No,Neither,???,Long Non-coding RNA,Nucleus,Role in RNA regulation and gene expression likely.
NANOGNBP1,No,Neither,Pluripotency Regulation,Protein,Cytoplasm,Known for role in maintaining stemness in pluripotent cells.
LINC01868,No,Neither,???,Long Non-coding RNA,Nucleus,Potential regulatory functions in gene expression.
NPAS2,No,Yes,Circadian Rhythm,Transcription factor,Nucleus,Regulates circadian rhythms and may impact cell proliferation.
NPAS2-AS1,No,Neither,None Established,Non-coding RNA,Nucleus,Regulatory role in gene expression; potential role in circadian rhythm regulation.
RPL31,No,Neither,Ribosome Biogenesis,Ribosomal Protein,Cytoplasm,Component of the ribosome; essential for protein synthesis.
TBC1D8,No,Neither,,Protein,Cytoplasm,Involved in the regulation of vesicle trafficking.
BBIP1P1,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA processing; potential role in gene regulation.
TBC1D8-AS1,No,Neither,,Non-coding RNA,Nucleus,Involved in the regulation of TBC1D8 and gene expression.
CNOT11,No,Neither,Rna Decay ,RNA-binding Protein,Cytoplasm,Part of the CCR4-NOT complex involved in mRNA degradation.
RNF149,No,Neither,,E3 Ubiquitin Ligase,Cytoplasm,Involved in protein degradation and regulation of cell signaling.
SNORD89,No,Neither,,Non-coding RNA,Nucleolus,"Involved in the modification of RNA, specifically in ribosomal RNA processing."
MIR5696,No,Neither,,MicroRNA,Cytoplasm,Regulates gene expression by targeting mRNA for degradation.
CREG2,No,Neither,,Protein,Cytoplasm,Implicated in cellular differentiation and tissue repair.
RFX8,No,Neither,Immunological ,Transcription Factor,Nucleus,Regulates gene expression in immune response.
LINC01870,No,Neither,,Long non-coding RNA,Nucleus,Involved in regulation of gene expression and chromatin remodeling.
RPS6P3,No,Neither,Ribosome Biogenesis,Non-coding RNA,Nucleus,"Role in ribosomal RNA processing, potentially involved in regulating cell proliferation."
PRCPP1,No,Neither,,Protein,Cytoplasm,Associated with cell signaling and may have roles in immune response.
MAP4K4,Yes,Oncogene,Mapk Signaling ,Kinase,Cytoplasm,Involved in stress response signaling and cell proliferation.
IL1R2,No,Neither,Inflammatory ,Cytokine Receptor,Plasma Membrane,Inhibits IL-1 signaling; potential role in regulating inflammation and immune responses.
IL1R1,Yes,Oncogene,Inflammatory ,Cytokine Receptor,Plasma Membrane,Mediates pro-inflammatory signals; involved in immune responses.
IL1R1-AS1,No,Neither,,Non-coding RNA,Nucleus,May be involved in regulating IL1R1 expression; functional role still under investigation.
IL1RL2,Yes,Oncogene,Inflammatory ,Cytokine Receptor,Plasma Membrane,Involved in immune responses; mediates IL-33 signaling.
FAM183DP,No,Neither,,Protein,Cytoplasm,Function not fully characterized; involved in cell signaling pathways.
IL1RL1,No,No,Il-1 Signaling,Cytokine receptor,Membrane,"Receptor for IL-33, involved in inflammation and immune response."
IL18R1,No,No,Il-18 Signaling,Cytokine receptor,Membrane,"Receptor for IL-18, plays a role in immune responses."
SDR42E1P5,No,Unknown,,Unknown,Unknown,Function not well-characterized.
IL18RAP,No,No,Il-18 Signaling,Cytokine receptor,Membrane,Co-receptor that enhances IL-18 signaling.
MIR4772,No,No,,miRNA,Nucleus,"Involved in gene regulation, potential role in cancer modulation."
SLC9A4,No,No,Cell Signaling,Transporter,Membrane,"Sodium/proton exchanger, involved in ion transport."
SLC9A2,No,No,Cell Signaling,Transporter,Membrane,"Sodium/proton exchanger, regulates intracellular pH and volume."
MFSD9,No,No,,Transporter,Membrane,"Role in lipid transport, potential but unclear cancer association."
TMEM182,No,No,,Transmembrane protein,Membrane,Function not well characterized.
LINC01935,No,No,,lncRNA,Nucleus,"Long non-coding RNA, potential regulatory role in cancer."
CRLF3P1,No,No,,lncRNA,Nucleus,"Long non-coding RNA, function unclear."
CAPZBP1,No,No,,Protein,Cytoplasm,"Actin-binding protein, role in cytoskeletal dynamics."
LINC01965,No,No,,lncRNA,Nucleus,"Long non-coding RNA, potential role in tumorigenesis."
AHCYP3,No,No,,Unknown,Unknown,Function and cancer relevance unclear.
LINC01831,No,No,,lncRNA,Nucleus,May play a role in gene expression regulation.
LINC01102,No,No,,lncRNA,Nucleus,Potential role in cancer-related gene regulation.
LINC01103,No,No,,lncRNA,Nucleus,"Involved in regulation of gene expression, function unclear."
RPL23AP27,No,No,Ribosome Biogenesis,Pseudogene,Cytoplasm,"May have a role in ribosomal function, cancer association unclear."
LINC01114,No,No,,lncRNA,Nucleus,May contribute to regulatory pathways in cancer.
HMGB3P11,No,No,,Pseudogene,Nucleus,Potential regulatory role but not extensively characterized.
PANTR1,No,Neither,,Non-coding RNA,Nucleus,Long non-coding RNA with possible regulatory roles; function unclear
POU3F3,Yes,Oncogene,Various ,Transcription factor,Nucleus,Regulates gene expression involved in cell survival and differentiation
LINC01159,No,Neither,,Long non-coding RNA,Nucleus,"Involved in regulatory functions, possibly in cancer progression."
MRPS9-AS2,No,Neither,,Long non-coding RNA,Nucleus,Potential role in regulating MRPS9; needs further functional studies
MRPS9,No,Neither,Mitochondrial Protein Synthesis,Mitochondrial protein,Mitochondria,Involved in mitochondrial translation; plays role in energy metabolism
MRPS9-AS1,No,Neither,,Long non-coding RNA,Nucleus,Functions as a regulatory RNA; role in cancer needs further investigation.
LINC01918,No,Neither,Hypothesized Roles In Cancer,Long non-coding RNA,Nucleus,Potential role in gene expression regulation; specific functions unclear.
GPR45,No,Neither,,G protein-coupled receptor,Cell membrane,Possibly involved in neuronal signaling; specific roles in cancer are unclear.
TGFBRAP1,No,Neither,Tgf-Beta Signaling,Adaptor protein,Cytoplasm,Implicated in TGF-beta signaling pathways; role in tumorigenesis needs exploration.
C2orf49-DT,No,Neither,,Long non-coding RNA,Nucleus,Potential involvement in gene regulation; specific roles are to be determined.
C2orf49,No,Neither,,Protein,Cytoplasm,Function largely unknown; potential role in cellular processes.
FHL2,No,Tumor suppressor,Various ,Protein,Nucleus/Cytoplasm,Binds transcription factors; roles in differentiation and apoptosis.
NCK2,No,Neither,Cell Signaling,Adapter protein,Cytoplasm,Involved in signal transduction; may assist in cell growth and survival.
ECRG4,Yes,Tumor suppressor,Tumor Suppression,Protein,Cytoplasm/Nucleus,Proposed to have anti-tumor activities; role in apoptosis and cell growth.
UXS1,No,Neither,Glycosaminoglycan Biosynthesis,Enzyme,Cytoplasm,Involved in synthesis of glycosaminoglycans; role in cancer metabolism needs more research.
RPL22P10,No,Neither,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,Plays a role in protein synthesis; relevant in cancer metabolism.
SRSF3P4,No,Neither,Rna Splicing,Non-coding RNA,Nucleus,Involved in splicing regulation; potential roles in cancer-related splice variants.
RPS21P2,No,Neither,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,Contributes to protein synthesis; potential implications in cancer biology.
RPL27AP4,No,Neither,Ribosome Biogenesis,Ribosomal protein,Cytoplasm,Involved in ribosome assembly and protein synthesis; potential roles in cancerous cells.
ILRUNP1,No,Neither,Immune Response,Long non-coding RNA,Nucleus,Potential role in immune modulation; its role in cancer needs further elucidation.
ANAPC1P6,Yes,Oncogene,Cell Cycle Regulation,Non-coding RNA,Nucleus,Involved in the regulation of cell division.
PLGLA,No,Unknown,,Non-coding RNA,Nucleus,"Potential role in RNA regulation, unclear."
RGPD3,No,Tumor Suppressor,Signaling ,Protein,Cytoplasm,Involved in RNA processing and transport.
CD8B2,No,Unknown,Immune Response,Protein,Cell membrane,"Involved in T-cell function, particularly cytotoxicity."
EEF1A1P12,No,Unknown,Various Translation,Non-coding RNA,Cytoplasm,Possible role in translation regulation.
